Species,number,sex,m1 md,m2 md,m3 md,m1 bl tri,m1 bl tal,m2 bl tri,m2 bl tal,m3 bl tri,m3 bl tal
Alouatta_palliata_aequatorialis,304658,F,7.25,7.75,8.12,5.37,6.12,5.75,6.5,5.87,5.12
Alouatta_palliata_aequatorialis,306822,F,7,7.75,7.87,5.5,6.12,5.62,6.5,5.5,5.75
Alouatta_palliata_aequatorialis,306826,F,6.87,7.12,8.12,5.25,5.87,5.37,,5.37,5.5
Alouatta_palliata_aequatorialis,309221,F,7.25,7.75,8.62,5.5,6.25,5.75,6.62,5.87,5.75
Alouatta_palliata_aequatorialis,362285,F,7.12,8.12,8,5.25,6.37,5.87,6.37,5.75,5.75
Alouatta_palliata_aequatorialis,290607,F,7,7.75,8.75,5.25,5.75,5.5,6.62,5.5,6
Alouatta_palliata_aequatorialis,291106,F,7.25,8,8,5.5,6,5.75,6.12,5.87,5.25
Alouatta_palliata_aequatorialis,290598,F,7,7.62,8.5,5.5,6,5.62,6.62,5.5,5.87
Alouatta_palliata_aequatorialis,290602,F,6.87,7.75,8.12,5.12,5.62,5.25,6.25,5.5,5.62
Alouatta_palliata_aequatorialis,290604,F,6.5,7.87,7.75,5.25,5.37,5.75,6.5,5.37,5.5
Alouatta_palliata_aequatorialis,315824,F,6.71,7.27,7.7,5.16,5.31,5.51,5.73,5.52,4.46
Alouatta_palliata_aequatorialis,315825,F,6.63,7.49,8.29,5.48,5.63,5.74,6.18,6.23,5.21
Alouatta_palliata_aequatorialis,315827,F,6.55,7.62,7.63,5.2,5.68,5.65,5.97,5.57,4.39
Alouatta_palliata_aequatorialis,315832,F,6.8,7.26,7.28,5.35,5.55,5.56,5.99,5,4.78
Alouatta_palliata_aequatorialis,324245,F,6.39,7.3,6.58,4.63,5.15,5.15,5.82,5.13,5.02
Alouatta_palliata_aequatorialis,324247,F,6.41,6.77,6.87,4.85,5.04,5.23,5.28,5.09,4.97
