Species,number,sex,m1 md,m2 md,m3 md,m1 bl tri,m1 bl tal,m2 bl tri,m2 bl tal,m3 bl tri,m3 bl tal
Saguinus_midas_niger,96518,M,2.62,2.31,,2.18,2,1.68,1.37,,
Saguinus_midas_niger,96519,M,2.5,2.37,,1.81,1.81,1.75,1.56,,
Saguinus_midas_niger,96502,M,2.18,2.06,,1.93,1.87,1.62,1.5,,
Saguinus_midas_niger,96497,M,2.68,2.12,,2,1.81,1.87,1.56,,
Saguinus_midas_niger,96541,M,2.62,2,,1.81,1.81,1.68,1.5,,
Saguinus_midas_niger,96547,M,2.87,2.31,,2,2,1.68,1.62,,
Saguinus_midas_niger,96554,M,2.68,2.18,,1.93,2,1.62,1.5,,
Saguinus_midas_niger,96545,M,2.81,2.18,,1.93,1.87,1.56,1.56,,
Saguinus_midas_niger,37465,M,2.5,2.06,,2,1.87,1.62,1.37,,
Saguinus_midas_niger,95896,M,2.5,2.18,,1.81,1.81,1.68,1.5,,
Saguinus_midas_niger,95897,M,2.75,2.43,,2.25,1.93,1.81,1.56,,
Saguinus_midas_niger,95894,M,2.43,2.18,,1.93,2,1.62,1.5,,
Saguinus_midas_niger,95895,M,2.62,2.18,,2.12,1.93,1.68,1.43,,
Saguinus_oedipus_geoffroyi,22878,F,2.88,2.56,,2.19,2.19,1.69,1.69,,
Saguinus_oedipus_geoffroyi,22879,F,2.81,2.38,,2.19,2.31,1.75,1.69,,
Saguinus_oedipus_geoffroyi,22881,F,2.81,2.25,,2.13,2.06,1.69,1.63,,
Saguinus_oedipus_geoffroyi,22884,F,2.75,2.31,,2.13,2.13,1.75,1.75,,
Saguinus_oedipus_geoffroyi,22889,F,2.88,2.44,,2.19,2.13,1.94,1.81,,
Saguinus_oedipus_geoffroyi,22892,F,2.81,2.5,,2.38,2.13,2.06,1.81,,
Saguinus_oedipus_geoffroyi,22895,F,2.88,2.5,,2.25,2.06,1.75,1.69,,
Saguinus_oedipus_geoffroyi,22898,F,2.81,2.38,,2.25,2.25,1.69,1.75,,
Saguinus_oedipus_geoffroyi,22901,F,2.88,2.19,,2.31,2.25,1.75,1.81,,
Saguinus_oedipus_geoffroyi,22902,F,2.63,2.38,,2.19,2.25,2,1.94,,
Saguinus_oedipus_geoffroyi,22909,F,2.75,2.19,,2.13,2.06,1.63,1.75,,
Saguinus_oedipus_geoffroyi,22911,F,2.81,2.06,,2.25,2.19,1.63,1.63,,
Saguinus_oedipus_geoffroyi,22913,F,2.81,2.31,,2.25,2.19,1.75,1.81,,
Saguinus_oedipus_geoffroyi,22915,F,2.81,2.19,,2.19,2.31,1.88,1.69,,
Saguinus_oedipus_geoffroyi,22919,F,3,2.38,,2.31,2.19,2,1.75,,
Saguinus_oedipus_geoffroyi,22922,F,2.88,2.25,,2.31,2.38,1.88,1.88,,
Saguinus_oedipus_geoffroyi,22928,F,2.88,2.25,,2.25,2.19,1.75,1.69,,
Saguinus_oedipus_geoffroyi,22933,F,2.88,2.19,,2.31,2.25,1.75,1.81,,
Saguinus_oedipus_geoffroyi,22935,F,2.88,2.31,,2.38,2.19,1.88,1.88,,
Saguinus_oedipus_geoffroyi,22936,F,2.69,2.19,,2.13,2.25,1.88,1.69,,
Saguinus_oedipus_geoffroyi,22938,F,2.81,2.13,,2.13,2.06,1.69,,,
Saguinus_oedipus_geoffroyi,22872,M,2.63,2.38,,2.13,2.06,1.75,1.56,,
Saguinus_oedipus_geoffroyi,22874,M,2.75,2.44,,2.06,2.31,1.75,1.81,,
Saguinus_oedipus_geoffroyi,22882,M,2.75,2.13,,2.06,2.13,1.63,1.75,,
Saguinus_oedipus_geoffroyi,22883,M,2.75,2.38,,2.06,2.19,1.5,1.44,,
Saguinus_oedipus_geoffroyi,22885,M,2.81,2.38,,2,2.13,1.69,1.75,,
Saguinus_oedipus_geoffroyi,22888,M,2.75,2.31,,2.31,2.19,1.75,1.69,,
Saguinus_oedipus_geoffroyi,22891,M,2.88,2.63,,2.06,2.19,1.75,1.81,,
Saguinus_oedipus_geoffroyi,22899,M,2.81,,,2.31,2.19,,,,
Saguinus_oedipus_geoffroyi,22900,M,2.75,2.31,,2.25,2.25,1.81,1.75,,
Saguinus_oedipus_geoffroyi,22903,M,2.88,2.31,,2.19,2.19,1.88,1.75,,
Saguinus_oedipus_geoffroyi,22905,M,2.63,2.13,,2.06,,1.81,1.63,,
Saguinus_oedipus_geoffroyi,22907,M,2.75,2.25,,2.19,2.13,1.75,1.69,,
Saguinus_oedipus_geoffroyi,22908,M,2.81,2.25,,2.13,2.06,1.63,1.69,,
Saguinus_oedipus_geoffroyi,22910,M,2.81,2.44,,2.25,2.13,1.69,1.75,,
Saguinus_oedipus_geoffroyi,22916,M,2.81,2.19,,2.19,2.25,1.88,1.75,,
Saguinus_oedipus_geoffroyi,22918,M,2.81,2.5,,2.38,,1.88,,,
Saguinus_oedipus_geoffroyi,22923,M,2.81,2.31,,2.31,2.19,1.91,,,
Saguinus_oedipus_geoffroyi,22924,M,2.81,2.38,,2.13,2.19,1.75,1.81,,
Saguinus_oedipus_geoffroyi,22927,M,2.81,2.25,,2.06,2.13,1.75,1.75,,
Saguinus_oedipus_geoffroyi,22934,M,2.88,2.13,,2.13,2.25,1.63,1.88,,
Saguinus_oedipus_geoffroyi,22937,M,2.81,2.44,,2.25,2.25,1.75,1.75,,
Saimiri_oerstedi_oerstedi,27002,F,2.75,2.56,2.25,2.62,2.56,2.43,2.18,2.06,1.5
Saimiri_oerstedi_oerstedi,26985,F,2.75,2.5,2.18,2.5,2.43,2.43,2.18,1.93,1.43
Saimiri_oerstedi_oerstedi,26967,F,2.75,2.62,1.87,2.75,2.56,2.5,2.18,,
Saimiri_oerstedi_oerstedi,26943,F,2.87,2.56,1.93,2.68,2.56,2.56,2.25,2.06,1.5
Saimiri_oerstedi_oerstedi,26948,F,2.75,2.43,2.31,2.56,2.56,2.37,2.18,2,1.5
Saimiri_oerstedi_oerstedi,29484,F,2.68,2.5,2,2.62,2.43,2.43,2.12,1.81,1.37
Saimiri_oerstedi_oerstedi,29476,F,2.68,2.5,2.06,2.62,2.56,2.43,2,1.87,1.25
Saimiri_oerstedi_oerstedi,26994,F,2.87,2.56,2.12,2.62,2.43,2.43,2.12,2,1.43
Saimiri_oerstedi_oerstedi,26996,F,2.62,2.43,2.12,2.5,2.43,2.37,2.06,1.81,1.43
Saimiri_oerstedi_oerstedi,26999,F,2.75,2.56,,2.62,2.5,2.5,2.18,,
Saimiri_oerstedi_oerstedi,18927,F,2.69,2.39,2.21,2.39,2.46,2.28,1.97,1.89,1.32
Saimiri_oerstedi_oerstedi,26983,M,2.68,2.37,2.25,2.62,2.5,2.5,2.12,2.06,1.43
Saimiri_oerstedi_oerstedi,26984,M,2.75,2.43,,2.68,2.31,2.43,2.18,,
Saimiri_oerstedi_oerstedi,26998,M,2.56,2.37,2.06,2.56,2.43,2.31,1.93,1.87,1.31
Saimiri_oerstedi_oerstedi,26997,M,2.68,2.5,2.12,2.62,2.43,2.5,2.06,1.81,1.5
Saimiri_oerstedi_oerstedi,26990,M,2.68,2.5,2.25,2.62,2.56,2.43,2.18,2,1.5
Saimiri_oerstedi_oerstedi,26992,M,2.75,2.5,2.37,2.75,2.62,2.5,2.18,2.12,1.5
Saimiri_oerstedi_oerstedi,29485,M,2.68,2.43,2.81,2.62,2.43,2.37,2,1.81,1.43
Saimiri_oerstedi_oerstedi,29481,M,2.56,2.37,2.12,2.62,2.5,2.43,2.06,1.87,1.37
Saimiri_oerstedi_oerstedi,26975,M,2.81,2.5,2.25,2.56,2.5,2.43,2.18,2,1.37
Saimiri_oerstedi_oerstedi,26945,M,2.56,2.43,2.18,2.56,2.43,2.31,2.12,1.87,1.37
Saimiri_oerstedi_oerstedi,26944,M,2.68,2.56,,2.62,2.56,2.37,2.06,,
Saimiri_oerstedi_oerstedi,26938,M,2.68,2.75,,2.56,2.56,2.37,2.25,,
Saimiri_oerstedi_oerstedi,26941,M,2.68,2.43,2.12,2.62,2.43,2.37,2,1.81,1.25
Saimiri_oerstedi_oerstedi,26935,M,2.75,2.56,2.25,2.62,2.5,2.5,2.18,2,1.37
Saimiri_oerstedi_oerstedi,26936,M,2.68,2.56,2.31,2.62,2.56,2.5,2.18,2.12,
Saimiri_oerstedi_oerstedi,26968,M,2.62,2.43,2.25,2.56,2.43,2.37,2.18,2,1.37
Saimiri_oerstedi_oerstedi,26958,M,2.81,2.43,2.12,2.62,2.5,2.37,2.12,1.87,1.31
Saimiri_oerstedi_oerstedi,26970,M,2.68,2.5,2.31,2.62,2.68,2.43,2.25,1.93,1.5
Saimiri_oerstedi_oerstedi,26974,M,2.75,2.62,2.18,2.68,2.43,2.43,2.12,1.87,1.37
Saimiri_oerstedi_oerstedi,26973,M,2.75,2.56,2.12,2.56,2.5,2.43,2.12,2,1.43
Saimiri_oerstedi_oerstedi,26961,M,2.75,2.43,2.18,2.62,2.56,2.43,2.18,2,1.43
Saimiri_oerstedi_oerstedi,27000,M,2.75,2.68,,2.56,2.43,2.37,2.06,,
Saimiri_oerstedi_oerstedi,29480,M,2.75,2.5,2.12,2.68,2.56,2.5,2.12,1.93,1.31
Saimiri_oerstedi_oerstedi,18928,M,2.58,2.48,2.28,2.46,2.46,2.31,2.07,1.85,1.34
Saimiri_sciureus_boliviensis,211676,?,2.68,2.5,1.93,2.62,2.56,2.43,2.18,1.93,1.5
Saimiri_sciureus_boliviensis,255860,F,2.75,2.75,2.25,2.68,2.75,2.62,2.43,2.12,1.75
Saimiri_sciureus_boliviensis,255859,F,2.5,2.43,2.12,2.87,2.81,2.56,2.56,2,1.68
Saimiri_sciureus_boliviensis,211591,F,2.56,2.37,2,2.62,2.56,2.31,2.18,1.87,1.62
Saimiri_sciureus_boliviensis,209933,F,2.68,2.5,2.06,2.75,2.62,2.43,2.37,1.87,1.75
Saimiri_sciureus_boliviensis,209928,F,2.56,2.37,2,2.81,2.68,2.43,2.37,1.93,1.56
Saimiri_sciureus_boliviensis,211606,F,2.87,2.56,2.18,2.87,2.87,2.56,2.56,2.06,1.81
Saimiri_sciureus_boliviensis,211614,F,2.68,2.56,2.25,2.81,2.68,2.5,2.31,2.12,1.68
Saimiri_sciureus_boliviensis,211613,F,2.75,2.62,2.25,2.93,2.87,2.56,2.56,2.12,1.75
Saimiri_sciureus_boliviensis,211609,F,2.81,2.62,2.18,2.87,2.75,2.5,2.37,2,1.68
Saimiri_sciureus_boliviensis,211604,F,2.81,2.68,2.25,2.81,2.75,2.56,2.56,2,1.68
Saimiri_sciureus_boliviensis,211615,F,2.43,2.43,2.12,2.62,2.56,2.37,2.31,2,1.75
Saimiri_sciureus_boliviensis,211650,F,2.68,2.56,2.18,2.68,2.62,2.37,2.5,1.93,1.68
Saimiri_sciureus_boliviensis,211617,F,2.75,2.5,2.18,2.62,2.62,2.31,2.31,1.93,1.75
Saimiri_sciureus_boliviensis,211616,F,2.5,2.43,2.25,2.62,2.56,2.25,2.25,1.93,1.62
Saimiri_sciureus_boliviensis,211630,F,2.5,2.31,2.12,2.56,2.56,2.31,2.31,1.87,1.68
Saimiri_sciureus_boliviensis,211634,F,2.68,2.43,2.12,2.87,2.75,2.56,2.25,2,1.62
Saimiri_sciureus_boliviensis,211631,F,2.5,2.43,2.18,2.56,2.62,2.25,2.31,1.87,1.62
Saimiri_sciureus_boliviensis,211653,F,2.62,2.43,2.06,2.62,2.62,2.37,2.25,1.93,1.62
Saimiri_sciureus_boliviensis,211645,F,2.68,2.43,2.06,2.5,2.5,2.25,2.18,1.93,1.62
Saimiri_sciureus_boliviensis,211649,M,2.68,2.37,2.18,2.62,,2.43,2.37,2,1.62
Saimiri_sciureus_boliviensis,211647,M,2.5,2.5,2.18,2.56,2.56,2.31,2.25,1.93,1.5
Saimiri_sciureus_boliviensis,211651,M,2.62,2.43,,2.68,2.81,2.43,2.56,2,1.68
Saimiri_sciureus_boliviensis,255858,M,2.75,2.62,2.18,2.81,2.68,2.5,2.43,2.12,1.68
Saimiri_sciureus_boliviensis,211633,M,2.5,2.25,1.81,2.68,2.62,2.37,2.18,2,1.5
Saimiri_sciureus_boliviensis,211625,M,2.75,2.56,2.37,2.93,2.93,2.56,2.56,2.25,1.81
Saimiri_sciureus_boliviensis,211626,M,2.75,2.68,2.06,2.87,2.81,2.43,2.56,1.87,1.75
Saimiri_sciureus_boliviensis,211627,M,2.62,2.37,2.12,2.75,2.56,2.43,2.31,1.93,1.68
Saimiri_sciureus_boliviensis,211628,M,2.56,2.37,2.06,2.62,2.56,2.25,2.18,1.93,1.5
Saimiri_sciureus_boliviensis,211611,M,2.75,2.75,2.31,2.93,2.81,2.62,2.5,2.18,1.75
Saimiri_sciureus_boliviensis,211607,M,2.68,2.5,2.25,2.93,3,2.68,2.62,2.18,1.75
Saimiri_sciureus_boliviensis,211618,M,2.75,2.5,2.12,2.62,2.68,2.37,2.31,,
Saimiri_sciureus_boliviensis,211601,M,2.62,2.5,2.12,2.62,2.62,2.37,2.31,2.06,
Saimiri_sciureus_boliviensis,211603,M,2.81,2.5,,2.81,2.75,2.56,2.43,,
Saimiri_sciureus_boliviensis,211600,M,2.5,2.43,,2.56,2.62,2.43,2.5,,
Saimiri_sciureus_boliviensis,211598,M,2.81,2.5,2.25,3,2.87,2.75,2.43,2.12,1.87
Saimiri_sciureus_boliviensis,211599,M,2.62,2.43,2,2.37,2.5,2.18,2.31,1.75,1.5
Saimiri_sciureus_boliviensis,211597,M,2.56,2.37,2.06,2.81,2.68,2.56,2.31,2.06,1.68
Saimiri_sciureus_boliviensis,209929,M,2.81,2.56,2.06,2.75,2.68,2.31,2.25,,
Saimiri_sciureus_boliviensis,209934,M,3,2.62,2.12,2.93,,2.68,2.37,,1.68
Saimiri_sciureus_boliviensis,209931,M,2.75,2.37,2.18,2.75,2.68,2.37,2.18,1.93,1.68
Saimiri_sciureus_boliviensis,209930,M,2.68,2.31,2,2.81,2.75,2.43,2.31,2,1.68
Saimiri_sciureus_boliviensis,211610,M,2.68,2.56,2,2.81,2.93,2.62,2.56,,
Saimiri_sciureus_boliviensis,211595,M,2.62,2.56,2.12,2.68,2.62,2.31,2.18,1.93,1.56
Saimiri_sciureus_boliviensis,211594,M,2.56,2.43,2.12,2.62,2.56,2.43,2.18,2,1.68
Saimiri_sciureus_boliviensis,211592,M,2.75,2.43,1.93,2.75,2.81,2.43,2.31,2,1.68
Allenopithecus_nigroviridis,FC34,F,5.5,6.44,5.88,4.25,4.44,5.38,5.13,5.38,4.19
Allenopithecus_nigroviridis,RG9339,F,5.75,6.25,5.88,4.75,4.63,5.63,5.38,5.38,4.5
Allenopithecus_nigroviridis,RG10303,F,5.75,6.63,6.38,4.5,4.38,5.5,5.25,5.25,4.38
Allenopithecus_nigroviridis,RG14492,F,5.63,6.75,6.5,,,5.75,5.5,6,5.13
Allenopithecus_nigroviridis,RG28771,F,5.63,6.13,5.88,4.5,4.5,5.5,5.13,5,4.13
Allenopithecus_nigroviridis,1970-75,M,5.5,6.25,5.87,4.62,4.5,5.37,4.87,4.75,3.87
Allenopithecus_nigroviridis,52467,M,6.38,7,7.13,5.25,5.13,6,5.88,6.25,5.25
Allenopithecus_nigroviridis,RG18971,M,6.25,6.63,6.75,4.25,4.38,4.88,5.13,4.88,4.75
Allenopithecus_nigroviridis,RG28645,M,6.13,6.88,6.88,6.13,5,6,5.88,5.75,5.13
Allenopithecus_nigroviridis,RG27994,M,5.75,6.25,6.13,4.38,4.38,5.25,4.88,5.38,4.63
Allenopithecus_nigroviridis,RG27993,M,6,6.75,6.75,4.94,5,5.88,5.75,5.75,4.75
Allenopithecus_nigroviridis,RG28647,M,6.13,7,6.5,4.88,,6,5.63,5.5,4.88
Allenopithecus_nigroviridis,RG28770,M,6,6.63,6.38,5,4.88,6.13,5.63,6,4.5
Allenopithecus_nigroviridis,RG28698,M,6.88,7.25,7,5.13,5.25,6.38,5.88,6.25,5.13
Allenopithecus_nigroviridis,RG28649,M,5.88,6.5,6.5,4.5,4.5,5.75,5.5,5.5,4.38
Allenopithecus_nigroviridis,RG28769,M,5.88,7,7,,,6.13,6,6.25,5.5
Colobus_polykomos_angolensis,52202,F,6.25,7.75,9.63,5.5,5.75,6.38,6.5,6.13,6.13
Colobus_polykomos_angolensis,52197,F,6.75,6.88,8.5,5,5.5,5.5,5.88,5.25,5.25
Colobus_polykomos_angolensis,52190,F,7,7.38,9.13,5.13,5.5,5.88,6.25,5.63,6
Colobus_polykomos_angolensis,52177,F,6.75,7.13,9.25,5,5.25,5.88,6.25,6,6
Colobus_polykomos_angolensis,52173,F,7,7.63,9.5,5.38,5.63,6.38,6.5,5.75,6.13
Colobus_polykomos_angolensis,52169,F,6.75,7.63,8.88,4.88,5.13,6.13,6.13,5.88,6
Colobus_polykomos_angolensis,52154,F,6.88,7.5,8.75,5.13,5.5,5.88,6.5,5.63,6
Colobus_polykomos_angolensis,52153,F,6.88,7.38,9.13,4.88,5.13,5.63,6.13,5.88,5.88
Colobus_polykomos_angolensis,52142,F,6.5,7.13,9.25,5,5.13,6.13,6,,5.75
Colobus_polykomos_angolensis,52143,F,7,7.25,9,5.13,5.38,5.75,6,5.75,5.88
Colobus_polykomos_angolensis,52200,M,7.5,7.75,9.25,5.38,5.75,6,6.38,6.25,6.25
Colobus_polykomos_angolensis,52201,M,7.25,7.75,9.75,,5.75,6.5,6.5,6.25,6.5
Colobus_polykomos_angolensis,52196,M,7.38,7.63,9.25,5.5,5.88,6.13,6.5,6.13,6
Colobus_polykomos_angolensis,52189,M,7.25,7.75,9.88,5.5,5.75,6.25,6.63,6.5,6.38
Colobus_polykomos_angolensis,52186,M,6.88,7.13,8.63,4.75,5.25,5.38,5.63,5.25,5.63
Colobus_polykomos_angolensis,52187,M,6.75,7.25,9,5,5.13,6,5.88,5.75,5.75
Colobus_polykomos_angolensis,52184,M,7.5,7.88,9.38,5.5,5.63,6.38,6.25,6,6.25
Colobus_polykomos_angolensis,52179,M,7,7.25,8.38,5.63,5.75,6.25,6.38,5.75,5.5
Colobus_polykomos_angolensis,52174,M,7.63,7.88,10.13,5.75,5.88,6.63,6.88,6.5,6.75
Colobus_polykomos_angolensis,52167,M,7,7.38,8.88,5.25,5.5,6.13,6.13,5.75,5.88
Colobus_polykomos_angolensis,52168,M,7,7.5,9.13,5.25,5.38,6,6.38,5.63,6.13
Colobus_polykomos_angolensis,52170,M,7.25,7.75,9,5.25,5.5,6,6.38,5.63,5.63
Colobus_polykomos_angolensis,52166,M,7.38,7.75,9.25,5.38,5.63,6.38,6.5,5.88,5.88
Colobus_polykomos_angolensis,52165,M,6.88,7.63,8.88,5.13,5.5,6.13,6.38,6.13,5.88
Colobus_polykomos_angolensis,52163,M,6.63,7.38,9.88,5.25,5.5,6.25,,,6.13
Colobus_polykomos_angolensis,52162,M,7.25,8,9.75,5.25,5.5,6,6.5,6.13,6.25
Colobus_polykomos_angolensis,52161,M,7.5,8,8.88,,,7.25,6.5,6,5.88
Colobus_polykomos_angolensis,52158,M,7.38,7.63,8.88,5.38,5.63,6,6.25,5.88,6
Colobus_polykomos_angolensis,52156,M,6.75,7.5,9.63,5.38,5.63,6.25,6.5,6.38,6.38
Colobus_polykomos_angolensis,52160,M,7,7.75,8.88,5.25,5.63,6.25,6.63,5.88,6.13
Colobus_polykomos_angolensis,52151,M,7,7.63,9,5.25,5.63,6.25,6.5,6.38,6.13
Colobus_polykomos_angolensis,52152,M,7.38,8.25,9.5,5.5,5.88,6.38,6.75,5.88,6.13
Colobus_polykomos_angolensis,52149,M,7.13,7.13,8.88,5.5,5.63,5.88,6.13,5.75,6
Colobus_polykomos_angolensis,52144,M,7.75,7.63,10,6,6,6.63,6.63,6.75,6.63
Colobus_polykomos_angolensis,86704,M,7,7.13,9.38,5.25,5.63,6.38,6.5,6.25,6.38
Colobus_badius_oustaletti,52311,?,6.63,7.13,8.88,,5.13,5.5,5.63,5.5,
Colobus_badius_oustaletti,52333,?,7,7.38,8.75,5.13,,6,6.25,5.88,6
Colobus_badius_oustaletti,82426,F,7.13,7.25,9,4.88,5.25,5.38,5.75,5.5,5.63
Colobus_badius_oustaletti,52343,F,7.5,7.88,9.88,5.5,5.75,6.25,6.25,6.25,6.25
Colobus_badius_oustaletti,52345,F,7.38,7.75,9.88,5.25,5.63,5.88,6.13,6,6.13
Colobus_badius_oustaletti,52305,F,6.88,7.25,9.38,5.25,5.38,6.13,6.25,5.75,5.75
Colobus_badius_oustaletti,52310,F,7.13,7.63,9.75,5.5,5.63,6.13,6,6.13,6.13
Colobus_badius_oustaletti,52308,F,7.13,7.25,9,5.13,5.25,5.63,6,5.88,5.75
Colobus_badius_oustaletti,52315,F,7,7.5,9.25,5.25,5.38,5.88,5.88,6.25,5.75
Colobus_badius_oustaletti,52319,F,7.13,7.25,9.13,5.13,5.5,5.38,5.75,5.63,5.38
Colobus_badius_oustaletti,52323,F,7.75,8.25,10.25,5.75,6,6.38,6.63,6.5,6.38
Colobus_badius_oustaletti,52327,F,7.63,8,9.88,5.5,6,6.13,6.5,6.5,6.38
Colobus_badius_oustaletti,52259,F,6.75,6.75,9,4.88,5.63,5.5,6,5.63,5.63
Colobus_badius_oustaletti,52261,F,7.63,7.5,9.75,,5.75,6.25,6.13,6.38,6.25
Colobus_badius_oustaletti,52263,F,7,7.5,9.75,5,5.5,5.63,6,5.88,6
Colobus_badius_oustaletti,52273,F,6.75,7.5,9,5,5.13,5.63,5.63,5.75,5.63
Colobus_badius_oustaletti,52275,F,7.13,7.5,8.63,5.5,5.75,6,6.13,5.88,5.63
Colobus_badius_oustaletti,52283,F,7.63,7.63,9.75,5.25,5.38,5.63,6,6.13,6.13
Colobus_badius_oustaletti,52297,F,6.75,7.25,9,4.88,5.38,5.63,6,,5.88
Colobus_badius_oustaletti,52301,F,7.13,7.63,9.38,,5.13,5.75,6.13,5.88,5.63
Colobus_badius_oustaletti,52339,M,7.38,7.63,9.25,5.13,5.38,5.38,5.63,5.75,5.63
Colobus_badius_oustaletti,52340,M,7.5,7.88,9.63,5.25,5.38,5.75,5.75,5.75,
Colobus_badius_oustaletti,52347,M,7.25,7.88,10.13,5.25,5.5,5.63,5.75,5.88,5.88
Colobus_badius_oustaletti,52346,M,7.5,7.5,9.5,5.25,5.25,6,5.88,5.88,5.75
Colobus_badius_oustaletti,52306,M,7.25,7.63,9.38,5,5.5,5.63,,6,6
Colobus_badius_oustaletti,52304,M,7,7.13,8.5,5,5.38,5.63,5.75,5.75,5.63
Colobus_badius_oustaletti,52303,M,7.5,8.13,9.13,,5.75,6.38,6.25,,
Colobus_badius_oustaletti,52321,M,6.88,7.63,9,5,5.25,5.75,5.75,6,5.38
Colobus_badius_oustaletti,52322,M,6.63,7.25,9,5.25,5.63,6,6.13,5.88,5.75
Colobus_badius_oustaletti,52326,M,7.5,7.88,10,5.38,5.75,6,,6.38,6.38
Colobus_badius_oustaletti,52329,M,7.75,8,9.75,5.38,5.88,6.25,6.38,6.25,6.13
Colobus_badius_oustaletti,52298,M,6.88,7.5,9.75,5.38,5.5,,,6,6.13
Colobus_badius_oustaletti,52334,M,7.38,7.63,9.25,5.38,5.38,5.75,5.75,5.75,5.38
Colobus_badius_oustaletti,52335,M,7.25,7.38,9.5,5,5.25,,5.75,5.75,5.63
Colobus_badius_oustaletti,52265,M,7.25,8,9.75,5.13,5.25,5.5,6,6.13,6.13
Colobus_badius_oustaletti,52266,M,7.88,8.38,10.25,,5.88,6.25,6.63,6,6.13
Colobus_badius_oustaletti,52270,M,6.88,7.13,8.63,5.13,5.25,5.5,5.63,,5.38
Colobus_badius_oustaletti,52271,M,6.88,7.25,8.5,5.25,5.5,5.75,5.88,5.75,5.5
Colobus_badius_oustaletti,52276,M,7.13,7.63,9.5,4.75,5,5.5,5.5,5.63,5.63
Colobus_badius_oustaletti,52277,M,7.5,7.88,10,5.25,5.63,5.88,6.25,5.88,6
Colobus_badius_oustaletti,52284,M,8.5,8.75,10.63,5.75,6,6.38,6.63,6.38,6.38
Colobus_badius_oustaletti,52289,M,6.88,7.13,9,4.88,5.5,5.38,5.75,5.63,5.75
Colobus_badius_oustaletti,52288,M,7.63,8.25,10.38,5.13,5.63,6,,6.25,6.13
Colobus_badius_oustaletti,52295,M,6.88,7.38,9,4.75,5.25,5.5,5.25,5.63,
Colobus_badius_oustaletti,52287,M,7.38,7.63,9.5,,,,6.13,6.13,5.63
Colobus_badius_oustaletti,52302,M,7.38,7.75,9.25,5.25,5.5,5.75,6.13,5.75,5.88
Colobus_guereza_caudatus,1951/263,?,7.75,8.5,9.25,5.87,6.37,6.87,7.25,6.62,6.87
Colobus_guereza_caudatus,1098,F,7.5,7.87,9.87,5.75,5.87,6.5,6.87,6.37,6.37
Colobus_guereza_caudatus,1100,F,7.5,7.87,10,5.62,6.12,6.62,6.75,6.5,6.37
Colobus_guereza_caudatus,AM/1269,F,7.62,7.75,9.87,5.25,5.87,6.12,6.62,6.12,6.37
Colobus_guereza_caudatus,1904/1542,F,7.37,7.75,9.87,5.5,5.75,6.5,7.12,6.62,6.62
Colobus_guereza_caudatus,1904/1543,F,7.87,8.25,10.37,5.75,6.12,6.75,7.12,6.75,6.87
Colobus_guereza_caudatus,A61240,F,7.62,8,10.5,5.62,5.75,6.75,6.87,6.5,6.75
Colobus_guereza_caudatus,A621169,F,7.37,7.62,10,5.62,6.12,6.5,7,6.37,6.5
Colobus_guereza_caudatus,97.3.14.1,F,7.25,7.87,9.5,5.25,5.62,6.37,6.87,6,6.5
Colobus_guereza_caudatus,97.3.14.3,F,7.12,7.5,9.75,5.62,6,6.25,6.62,6.25,6.25
Colobus_guereza_caudatus,89.3.8.1,F,7.5,7.87,10.5,5.75,5.87,6.5,7,6.37,6.62
Colobus_guereza_caudatus,89.3.8.2,F,7.37,8,10,5.5,6,6.5,7.12,6.5,6.75
Colobus_guereza_caudatus,92.10.18.6,F,7.5,7.62,10,5.25,5.75,5.87,6.75,6.25,6.5
Colobus_guereza_caudatus,G68.8236,F,7.37,7.87,10.25,5.5,5.75,6.12,6.75,6.12,6.62
Colobus_guereza_caudatus,G68.8242,F,7.37,7.5,10,5.25,5.62,6,6.37,6,6.12
Colobus_guereza_caudatus,G68.8241,F,7.5,8.12,10.5,5.62,6,6.62,7.12,6.5,6.62
Colobus_guereza_caudatus,G68.8232,F,7.25,7.5,9.62,5.62,6,6.37,6.75,6.25,6.62
Colobus_guereza_caudatus,G68.8231,F,7.25,7.62,9.87,5.75,6.12,6.62,7.12,6.5,6.62
Colobus_guereza_caudatus,G68.823,F,7.37,7.5,10.25,5.5,6,6.12,6.37,6.25,6.37
Colobus_guereza_caudatus,G68.673,F,7.37,7.87,10,5.37,6.12,6.12,6.75,6.12,6.62
Colobus_guereza_caudatus,G68.672,F,7.25,7.75,10.12,5.25,6.12,6,6.87,6.25,6.25
Colobus_guereza_caudatus,21147,F,7.37,8.25,10.75,5.75,6.12,6.87,7.12,6.5,6.37
Colobus_guereza_caudatus,22850,F,7.5,8,9.5,5.62,6.12,6.5,6.87,6.37,6.12
Colobus_guereza_caudatus,21153,F,7.37,8.25,9.62,6,6.12,7,6.87,6.5,6.12
Colobus_guereza_caudatus,21151,F,7.37,8.25,10.25,5.62,6.12,6.62,6.75,6.12,6.5
Colobus_guereza_caudatus,1904/1541,M,8.12,8.37,10.75,5.62,6,6.87,7,6.75,7
Colobus_guereza_caudatus,1951/264,M,7.37,7.87,,5.5,5.75,6.37,7,6.75,6.87
Colobus_guereza_caudatus,1904/1544,M,7.62,8,10.37,5.75,6,6.75,7,7.12,7.25
Colobus_guereza_caudatus,1960/397,M,7.87,8.62,11.25,6,6.5,7,7.5,7,6.5
