Row.names,m1.md,m1.bl.tal,ratio_m1,m2.md,m2.bl.tal,ratio_m2,m3.md,m3.bl.tal,ratio_m3
Homo_sapiens,11.466,10.597,0.078815192,11.4035,10.417,0.090481239,11.7285,10.116,0.147903448
Nomascus_concolor,6.668666667,5.282857143,0.232952863,7.055666667,5.885862069,0.181277861,6.747777778,5.560384615,0.193545951
Bunopithecus_hoolock,6.991960784,5.785,0.189492669,7.771372549,6.562727273,0.169040537,7.546046512,6.277173913,0.18410392
Hylobates_klossii,6.04952381,4.761333333,0.239451819,6.073333333,5.033684211,0.18775544,5.245238095,4.3955,0.176739345
Hylobates_agilis,6.2325,5.145,0.191752167,6.4776,5.377272727,0.186168754,6.428,5.056190476,0.240050118
Hylobates_lar,6.28925,5.286153846,0.173750907,6.65175,5.676756757,0.158499902,6.635789474,5.459444444,0.195130612
Hylobates_pileatus,6.372,4.786666667,0.286079117,6.398,5.322,0.184136269,6.3725,5.405,0.164667406
Symphalangus_syndactylus,8.104444444,6.4896875,0.222198229,8.881509434,7.08875,0.225462504,8.77547619,6.712444444,0.267997851
Trachypithecus_johnii,6.206666667,5.123333333,0.191818714,6.728333333,5.871666667,0.136188943,7.54,5.956666667,0.235711142
Lagothrix_lagotricha,5.622173913,5.24,0.070396908,5.942608696,5.615789474,0.056566032,5.481304348,4.980454545,0.095821931
Leontopithecus_rosalia,3.145,2.72,0.14518201,2.861428571,2.35,0.196905672,NA,NA,NA
Lophocebus_aterrimus,6.669166667,5.500208333,0.192708944,7.35125,6.5125,0.12114696,8.090833333,5.434791667,0.397910546
Lophocebus_albigena,6.847619048,5.746666667,0.175281031,7.561904762,6.395238095,0.167569445,7.937619048,5.412857143,0.382836286
Macaca_brunnescens,9.11125,5.50125,0.504534575,8.54875,6.205,0.320429655,8.875714286,6.2675,0.347941264
Macaca_fascicularis,7.245,5.685,0.242480449,8.125,6.06,0.293235928,9.935,5.875,0.525357816
Macaca_fascicularis_fascicularis,6.215185185,4.756923077,0.267394474,7.169259259,5.464444444,0.271539879,8.464814815,5.146296296,0.497640849
Macaca_fuscata,7.746944444,6.098333333,0.239282991,9.055833333,7.2675,0.219996764,11.62277778,6.900833333,0.521324597
Macaca_fuscata_yakui,7.29,5.58,0.26731477,8.5,6.456666667,0.274952975,10.56,6.123333333,0.544966668
Macaca_hecki,7.3624,5.796818182,0.239076789,8.3728,6.573478261,0.241945249,9.8724,5.942,0.507697208
Macaca_maura,7.39125,5.96875,0.213759343,8.46875,7.035714286,0.1853837,10.84375,6.5325,0.506799159
Macaca_mulatta_mcmahonni,7.25,6.38,0.127833372,8.75,7.13,0.204742466,11.75,7.25,0.482851772
Macaca_mulatta,6.784,5.496521739,0.210451417,7.9194,6.334583333,0.223291406,9.968367347,6.203265306,0.474340998
Macaca_mulatta_villosa,6.6375,5.878181818,0.121487887,8.013076923,6.810769231,0.162569753,10.3875,6.685384615,0.440679417
Macaca_nemestrina_leonina,7.204444444,5.761111111,0.223567762,8.234444444,6.79,0.192874957,10.24777778,6.608888889,0.438645336
Macaca_nemestrina,7.696176471,6.186666667,0.218327205,8.755,7.100588235,0.209447335,11.35352941,7.155588235,0.461635034
Macaca_nigra,7.237073171,5.582195122,0.259634776,8.271219512,6.61375,0.223631145,10.52731707,6.1595,0.535977899
Macaca_ochreata,7.06,5.5275,0.244709418,7.8425,6.25,0.226976197,9.9975,5.935,0.521468034
Macaca_silenus,6.685,5.34,0.224640558,7.8425,6.6525,0.164564937,9.4975,6.6875,0.350788494
Macaca_sinica,6.421463415,4.997692308,0.25066977,7.20195122,5.717073171,0.230895001,8.3315,5.4005,0.43355197
Macaca_sylvanus,7.522,5.996666667,0.226628301,8.924,6.465,0.322341264,11.3425,6.655,0.533188281
Macaca_tonkeana,8.012916667,6.272916667,0.244813398,9.039166667,6.930416667,0.265647051,10.41333333,6.299166667,0.502669687
Mandrillus_leucophaeus,10.30714286,7.930487805,0.262122589,12.37261905,9.87,0.225986036,15.04825,9.858372093,0.422940653
Mandrillus_sphinx,10.24818182,7.815454545,0.270997181,12.39545455,9.634545455,0.251974712,14.96363636,9.429090909,0.461823328
Miopithecus_talapoin_ansorgei,4.302,3.574,0.185394614,4.588,4.078,0.117837527,4.45,3.338,0.287532271
Miopithecus_talapoin,3.925897436,3.166944444,0.214827746,4.131025641,3.475641026,0.172746786,3.96,2.971578947,0.287150582
Nasalis_larvatus,7.472666667,5.79,0.255119627,8.188666667,6.461428571,0.23690065,10.48133333,6.448,0.485825892
Pan_paniscus,10.01527778,8.788064516,0.130717209,10.32235294,8.806486486,0.158823182,9.420625,8.112941176,0.149440972
Pan_troglodytes_schweinfurthii,11.36617647,9.953571429,0.132710545,11.89885714,10.38545455,0.136036131,11.43323529,9.617352941,0.172955426
Pan_troglodytes_troglodytes,11.31815789,9.913589744,0.132501812,11.57205128,10.32615385,0.113912933,10.9125641,9.675128205,0.120356305
Papio_anubis,10.672,8.774444444,0.195780033,12.773,10.623,0.184312106,16.073,10.06,0.468573681
Papio_cynocephalus,10.08133333,8.149333333,0.212749405,11.75714286,9.391428571,0.224663539,14.96333333,9.372,0.467876243
Papio_cynocephalus_kindae,8.14826087,7.157142857,0.129693655,9.742173913,8.204761905,0.171749581,12.525,8.019565217,0.445842439
